City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Fuerte Olimpo,-21.04,-57.87,60.12,81.0,88.0,6.11,PY,1593153418
Hobart,-42.88,147.33,50.0,61.0,90.0,8.05,AU,1593153008
Ushuaia,-54.8,-68.3,35.6,74.0,20.0,18.34,AR,1593153198
Hilo,19.73,-155.09,78.8,74.0,90.0,7.0,US,1593153005
Taitung City,22.76,121.14,91.4,63.0,75.0,5.82,TW,1593153392
Omboué,-1.57,9.26,73.27,80.0,28.0,5.86,GA,1593153418
Ahipara,-35.17,173.17,58.64,91.0,32.0,7.07,NZ,1593153204
Morro Bay,35.37,-120.85,59.0,87.0,16.0,0.56,US,1593153418
Avarua,-21.21,-159.78,69.8,77.0,33.0,3.36,CK,1593153199
Jamestown,42.1,-79.24,61.0,87.0,1.0,6.93,US,1593153204
Padang,-0.95,100.35,88.59,48.0,5.0,4.81,ID,1593153418
Chokurdakh,70.63,147.92,60.03,34.0,100.0,10.85,RU,1593153202
Busselton,-33.65,115.33,63.0,70.0,22.0,21.03,AU,1593152963
Lüderitz,-26.65,15.16,57.2,87.0,0.0,5.82,NA,1593153201
Arraial do Cabo,-22.97,-42.03,71.56,78.0,100.0,10.54,BR,1593153202
Rikitea,-23.12,-134.97,75.85,86.0,39.0,25.19,PF,1593153198
Gorontalo,0.54,123.06,79.41,86.0,100.0,1.14,ID,1593153215
Hervey Bay,-25.3,152.85,69.8,46.0,0.0,8.05,AU,1593153393
Hashtrūd,37.48,47.05,70.83,40.0,0.0,14.79,IR,1593153393
Suntar,62.14,117.63,77.76,46.0,92.0,3.6,RU,1593153201
Xining,36.62,101.77,73.35,29.0,100.0,12.82,CN,1593153419
Goundam,16.41,-3.67,91.83,29.0,4.0,9.01,ML,1593153393
Oranjemund,-28.55,16.43,57.94,82.0,0.0,6.93,NA,1593153419
Kaitangata,-46.28,169.85,46.0,71.0,100.0,6.49,NZ,1593153199
Tarquinia,42.25,11.76,70.0,77.0,0.0,5.82,IT,1593153393
Upernavik,72.79,-56.15,36.73,91.0,2.0,6.49,GL,1593153200
Yar-Sale,66.83,70.83,60.89,60.0,100.0,19.04,RU,1593153195
Morondava,-20.28,44.28,76.01,70.0,0.0,8.37,MG,1593153393
Torbay,47.67,-52.73,68.0,100.0,90.0,18.34,CA,1593153209
Sananduva,-27.95,-51.81,42.44,94.0,29.0,4.7,BR,1593153419
Mataura,-46.19,168.86,39.0,83.0,100.0,3.0,NZ,1593153175
Abhā,18.22,42.51,78.8,17.0,0.0,9.17,SA,1593153419
Fairview,40.81,-74.0,73.99,68.0,1.0,3.36,US,1593153357
Coromandel,-18.47,-47.2,59.85,82.0,98.0,2.35,BR,1593153393
Gewanē,10.17,40.65,95.72,22.0,0.0,9.93,ET,1593153393
Codrington,-38.27,141.97,50.9,69.0,100.0,2.28,AU,1593153199
Port Alfred,-33.59,26.89,61.0,94.0,34.0,1.01,ZA,1593153179
Chui,-33.7,-53.46,42.73,82.0,0.0,9.26,UY,1593153204
Bredasdorp,-34.53,20.04,53.6,87.0,97.0,6.93,ZA,1593153198
Salamanca,40.83,-6.0,62.01,80.0,0.0,5.1,ES,1593153419
Bluff,-46.6,168.33,39.0,83.0,100.0,3.0,NZ,1593153199
Vardø,70.37,31.11,51.8,93.0,75.0,19.46,NO,1593153419
Carnarvon,-24.87,113.63,75.2,50.0,2.0,9.17,AU,1593153180
Dix Hills,40.8,-73.34,72.0,73.0,1.0,4.7,US,1593153419
Lagoa,39.05,-27.98,65.86,91.0,34.0,13.56,PT,1593153200
Kavaratti,10.57,72.64,84.2,74.0,90.0,13.87,IN,1593153219
Deputatsky,69.3,139.9,72.77,44.0,78.0,7.96,RU,1593153420
Mar del Plata,-38.0,-57.56,43.0,70.0,40.0,10.29,AR,1593152916
Bowen,-20.02,148.23,71.01,49.0,0.0,9.17,AU,1593153420
Constitución,-35.33,-72.42,48.29,62.0,100.0,4.65,CL,1593153203
Onalaska,43.88,-91.24,69.8,83.0,1.0,5.82,US,1593153150
Clyde River,70.47,-68.59,33.8,66.0,1.0,4.7,CA,1593153218
Lebu,-37.62,-73.65,47.89,84.0,100.0,13.44,CL,1593153204
Atasū,48.68,71.64,86.16,14.0,100.0,14.16,KZ,1593153420
Puerto Ayora,-0.74,-90.35,70.0,94.0,63.0,1.01,EC,1593153066
Coyhaique,-45.58,-72.07,30.2,86.0,75.0,2.24,CL,1593153207
Pudozh,61.81,36.53,71.11,64.0,10.0,9.01,RU,1593153420
Athabasca,54.72,-113.29,55.33,68.0,99.0,6.8,CA,1593153420
Hermanus,-34.42,19.23,52.0,93.0,80.0,15.82,ZA,1593153188
Saint George,37.1,-113.58,89.6,18.0,1.0,16.11,US,1593153010
Poum,-20.23,164.02,71.46,66.0,5.0,15.93,NC,1593153221
Aklavik,68.22,-135.01,57.2,47.0,75.0,9.17,CA,1593153185
Santa Cruz,30.42,-9.6,64.4,88.0,3.0,5.82,MA,1593153420
Punta Arenas,-53.15,-70.92,24.8,85.0,70.0,5.82,CL,1593153201
Ust'-Ishim,57.69,71.17,57.07,83.0,92.0,4.99,RU,1593153420
Albany,42.6,-73.97,64.0,71.0,19.0,2.91,US,1593152983
Sitka,57.05,-135.33,53.6,71.0,90.0,11.41,US,1593153202
Saskylakh,71.92,114.08,88.45,21.0,35.0,8.25,RU,1593153199
Gubkinskiy,64.43,76.5,61.2,60.0,100.0,20.92,RU,1593153421
Nur-Sultan,51.18,71.45,75.2,41.0,75.0,8.95,KZ,1593153186
Qaanaaq,77.48,-69.36,34.68,87.0,0.0,1.97,GL,1593153175
Kuytun,54.34,101.5,82.62,29.0,0.0,4.7,RU,1593153189
Diébougou,10.97,-3.25,77.31,79.0,0.0,7.74,BF,1593153421
Bethel,41.37,-73.41,64.99,87.0,1.0,2.1,US,1593153177
Neiafu,-18.65,-173.98,77.0,88.0,75.0,17.96,TO,1593153421
Makakilo City,21.35,-158.09,80.6,65.0,1.0,8.05,US,1593153250
Barrow,71.29,-156.79,37.4,86.0,90.0,8.05,US,1593153001
Narsaq,60.92,-46.05,44.6,75.0,69.0,3.36,GL,1593153187
Santa Cruz de la Sierra,-17.8,-63.17,57.2,93.0,90.0,16.11,BO,1593153003
Bluffton,32.24,-80.86,79.0,78.0,75.0,5.82,US,1593153396
Saint Paul Harbor,57.79,-152.41,50.0,87.0,90.0,8.05,US,1593153205
Zabul Province,32.25,67.25,89.98,11.0,0.0,12.8,AF,1593153421
East London,-33.02,27.91,66.2,32.0,21.0,8.05,ZA,1593153214
Laas,46.62,10.7,53.6,93.0,40.0,2.24,IT,1593153203
Novomykolayivka,47.98,35.91,73.4,43.0,0.0,6.71,UA,1593153421
Faanui,-16.48,-151.75,78.22,74.0,20.0,13.78,PF,1593153206
Samarai,-10.62,150.67,78.82,82.0,65.0,18.1,PG,1593153396
Tuktoyaktuk,69.45,-133.04,41.0,80.0,75.0,12.75,CA,1593153201
Provideniya,64.38,-173.3,44.6,65.0,75.0,15.66,RU,1593153203
Madang,-5.22,145.8,83.3,73.0,59.0,5.84,PG,1593153422
Iralaya,15.0,-83.23,80.28,82.0,14.0,10.71,HN,1593153422
Luján,-34.57,-59.1,39.99,72.0,79.0,1.01,AR,1593153422
Atuona,-9.8,-139.03,79.86,78.0,36.0,17.47,PF,1593153179
Sola,-13.88,167.55,82.4,83.0,75.0,16.04,VU,1593153422
Bukama,-9.2,25.85,75.99,35.0,10.0,4.79,CD,1593153422
Hithadhoo,-0.6,73.08,84.85,70.0,79.0,8.43,MV,1593153203
Airai,-8.93,125.41,69.48,68.0,75.0,3.4,TL,1593153180
Estelle,29.85,-90.11,78.8,83.0,90.0,4.7,US,1593153422
Yuzhno-Kurilsk,44.03,145.86,52.84,88.0,100.0,8.32,RU,1593153422
Severo-Kuril'sk,50.68,156.12,51.39,70.0,100.0,11.63,RU,1593153199
Khatanga,71.97,102.5,79.32,38.0,0.0,13.4,RU,1593153199
Thompson,55.74,-97.86,59.0,100.0,75.0,2.24,CA,1593153202
Butaritari,3.07,172.79,83.64,69.0,0.0,11.01,KI,1593153208
Saint-Ambroise,48.55,-71.33,60.8,77.0,90.0,5.82,CA,1593153422
Port Hawkesbury,45.62,-61.35,66.2,63.0,1.0,8.05,CA,1593153422
Māngrol,21.12,70.12,88.9,65.0,54.0,10.25,IN,1593153192
Bassano,50.78,-112.47,62.01,73.0,86.0,3.0,CA,1593153422
Vila,42.03,-8.16,62.01,93.0,75.0,1.12,PT,1593153422
Saint-Philippe,-21.36,55.77,75.2,73.0,90.0,24.16,RE,1593153203
Vaini,-21.2,-175.2,75.2,83.0,75.0,5.82,TO,1593153200
New Norfolk,-42.78,147.06,48.0,79.0,32.0,1.99,AU,1593153178
Ust'-Tarka,55.57,75.7,55.18,95.0,100.0,8.46,RU,1593153397
Simpang,-1.27,104.08,92.39,47.0,17.0,4.43,ID,1593153423
Bathsheba,13.22,-59.52,82.4,78.0,40.0,21.92,BB,1593153397
Garelochhead,56.08,-4.83,59.0,93.0,100.0,8.05,GB,1593153397
Toba,34.48,136.85,84.2,79.0,40.0,5.82,JP,1593153397
Karwar,14.8,74.13,84.22,74.0,100.0,7.99,IN,1593153398
Unguía,8.04,-77.09,75.09,91.0,34.0,1.25,CO,1593153398
Nikolskoye,59.7,30.79,77.0,53.0,14.0,6.71,RU,1593153212
Atar,20.52,-13.05,89.83,16.0,0.0,11.43,MR,1593153398
Buraidah,26.33,43.98,93.2,17.0,0.0,3.36,SA,1593153261
Launceston,-41.45,147.17,50.0,61.0,32.0,6.93,AU,1593153223
Norman Wells,65.28,-126.83,55.4,87.0,75.0,3.36,CA,1593153208
Nanortalik,60.14,-45.24,40.66,90.0,78.0,12.44,GL,1593153205
Praia da Vitória,38.73,-27.07,64.4,100.0,75.0,13.09,PT,1593153214
Grand-Santi,4.25,-54.38,71.71,97.0,29.0,1.45,GF,1593153423
Cherskiy,68.75,161.3,40.1,69.0,1.0,23.09,RU,1593153213
Luganville,-15.53,167.17,78.8,94.0,75.0,7.85,VU,1593153203
Iaciara,-14.1,-46.63,62.56,54.0,37.0,2.3,BR,1593153423
Altay,47.87,88.12,78.01,21.0,6.0,5.66,CN,1593153423
Ullapool,57.9,-5.16,63.93,73.0,99.0,3.51,GB,1593153398
George Town,5.41,100.34,86.0,66.0,20.0,11.41,MY,1593153103
Cape Town,-33.93,18.42,57.0,93.0,75.0,4.7,ZA,1593153099
Erenhot,43.65,111.98,79.9,27.0,76.0,12.1,CN,1593153218
Coahuayana Viejo,18.73,-103.68,74.39,88.0,100.0,7.11,MX,1593153423
Tarata,-17.62,-66.02,50.0,57.0,0.0,2.73,BO,1593153424
Fortuna,40.6,-124.16,55.99,100.0,90.0,1.63,US,1593153177
Esim,4.87,-2.24,76.86,86.0,80.0,9.13,GH,1593153187
Rosita,13.93,-84.4,72.68,96.0,15.0,2.08,NI,1593153424
Bambous Virieux,-20.34,57.76,75.99,73.0,40.0,17.22,MU,1593153204
Castro,-24.79,-50.01,54.93,98.0,100.0,3.96,BR,1593153205
Gombong,-7.61,109.51,71.01,58.0,100.0,9.15,ID,1593153424
Kalmunai,7.42,81.82,89.87,53.0,100.0,4.56,LK,1593153204
Abu Samrah,35.3,37.18,85.48,30.0,0.0,10.11,SY,1593153213
Acapulco de Juárez,16.86,-99.89,79.0,75.0,60.0,6.44,MX,1593153386
Kumul,42.8,93.45,83.52,25.0,100.0,23.73,CN,1593153212
Wau,7.7,28.0,81.46,69.0,94.0,2.46,SS,1593153399
Letterkenny,54.95,-7.73,62.58,92.0,66.0,2.39,IE,1593153424
Jarosław,50.02,22.68,72.0,82.0,79.0,9.17,PL,1593153424
Nara,34.69,135.8,91.0,66.0,75.0,19.46,JP,1593153424
Sisimiut,66.94,-53.67,39.85,84.0,100.0,5.48,GL,1593153424
Salinópolis,-0.61,-47.36,78.17,84.0,23.0,8.08,BR,1593153208
Renukoot,24.2,83.03,93.33,48.0,99.0,12.68,IN,1593153399
Sault Ste. Marie,46.52,-84.33,55.4,87.0,1.0,2.75,CA,1593153194
Sungai Raya,0.7,108.9,81.09,85.0,97.0,2.3,ID,1593153424
Tiksi,71.69,128.87,49.37,77.0,25.0,4.81,RU,1593153211
Siuri,23.92,87.53,96.28,49.0,97.0,9.28,IN,1593153424
Nemuro,43.32,145.57,53.6,100.0,75.0,8.05,JP,1593153192
Samoylovka,51.18,43.71,69.01,60.0,30.0,3.0,RU,1593153425
São Filipe,14.9,-24.5,72.64,83.0,2.0,10.6,CV,1593153177
Mokolo,10.74,13.8,80.13,51.0,93.0,3.67,CM,1593153400
Andenes,69.31,16.12,50.0,87.0,75.0,21.92,NO,1593153292
Vidim,56.41,103.11,78.58,43.0,55.0,5.28,RU,1593153425
Kwinana,-32.25,115.77,71.01,52.0,75.0,17.22,AU,1593153425
Ribeira Grande,38.52,-28.7,66.2,93.0,75.0,8.05,PT,1593153208
Karlovac,45.49,15.55,64.0,93.0,12.0,0.45,HR,1593153425
Bengkulu,-3.8,102.27,84.74,64.0,0.0,6.22,ID,1593153186
Simao,22.79,100.97,75.65,81.0,96.0,5.7,CN,1593153425
Migori,-1.06,34.47,71.22,67.0,0.0,6.64,KE,1593153400
San Luis Obispo,35.28,-120.66,59.0,87.0,90.0,0.2,US,1593153151
Noumea,-22.28,166.46,72.0,56.0,0.0,6.93,NC,1593153415
